"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.798630136986301,0.17420934982812,0.0270686673219311,0.123745358871066
"2",3,0.838115512773047,0.220983126382391,0.0233651842834684,0.118245804120199
"3",5,0.8435394298408,0.154523902898592,0.0146679665479919,0.115982428057277
"4",7,0.849037393557941,0.17407506232749,0.0221877973651981,0.154320917006162
"5",9,0.846297667530544,0.117128122292272,0.0200555444416453,0.149466254039869
"6",11,0.844927804516846,0.0885906827191895,0.0110009229940117,0.103544304115316
"7",13,0.842206590151796,0.0635089210014292,0.00892117877843364,0.0893213768502498
"8",15,0.843557941503147,0.0767285372061199,0.00920486606239191,0.0886577356225738
"9",17,0.84081821547575,0.0516772025038612,0.00642949827692039,0.0667933474454347
"10",19,0.838078489448353,0.0252988241254828,0.00479245928272709,0.0534022956622484
"11",21,0.8380970011107,0.0252683971099813,0.00409326859509017,0.0533346652137009
"12",23,0.838078489448353,0.0252988241254828,0.00479245928272709,0.0534022956622484
"13",25,0.836727138097001,0.0120792079207921,0.00117078032586759,0.0381978093604497
"14",27,0.836727138097001,0.0120792079207921,0.00117078032586759,0.0381978093604497
"15",29,0.836727138097001,0.0120792079207921,0.00117078032586759,0.0381978093604497
"16",31,0.836727138097001,0.0120792079207921,0.00117078032586759,0.0381978093604497
"17",33,0.83537578674565,0,0.00403692911286072,0
"18",35,0.83537578674565,0,0.00403692911286072,0
"19",37,0.83537578674565,0,0.00403692911286072,0
"20",39,0.83537578674565,0,0.00403692911286072,0
"21",41,0.83537578674565,0,0.00403692911286072,0
"22",43,0.83537578674565,0,0.00403692911286072,0
"23",45,0.83537578674565,0,0.00403692911286072,0
"24",47,0.83537578674565,0,0.00403692911286072,0
"25",49,0.83537578674565,0,0.00403692911286072,0
"26",51,0.83537578674565,0,0.00403692911286072,0
